Timestamp,Message
2025-07-04 19:47:54,"127.0.0.1 - - [04/Jul/2025 19:47:54] ""GET /blocked_ips HTTP/1.1"" 200 -
"
2025-07-04 19:47:55,"127.0.0.1 - - [04/Jul/2025 19:47:55] ""GET /graph?ts=1751638674812 HTTP/1.1"" 200 -
"
2025-07-04 19:47:59,"127.0.0.1 - - [04/Jul/2025 19:47:59] ""GET /live_ips HTTP/1.1"" 200 -
"
2025-07-04 19:47:59,"127.0.0.1 - - [04/Jul/2025 19:47:59] ""GET /blocked_ips HTTP/1.1"" 200 -
"
2025-07-04 19:48:00,"127.0.0.1 - - [04/Jul/2025 19:48:00] ""GET /graph?ts=1751638679804 HTTP/1.1"" 200 -
"
2025-07-04 19:48:04,"127.0.0.1 - - [04/Jul/2025 19:48:04] ""GET /live_ips HTTP/1.1"" 200 -
"
2025-07-04 19:48:04,"127.0.0.1 - - [04/Jul/2025 19:48:04] ""GET /blocked_ips HTTP/1.1"" 200 -
"
2025-07-04 19:48:05,"127.0.0.1 - - [04/Jul/2025 19:48:05] ""GET /graph?ts=1751638684808 HTTP/1.1"" 200 -
"
2025-07-04 19:48:09,"127.0.0.1 - - [04/Jul/2025 19:48:09] ""GET /live_ips HTTP/1.1"" 200 -
"
2025-07-04 19:48:09,"127.0.0.1 - - [04/Jul/2025 19:48:09] ""GET /blocked_ips HTTP/1.1"" 200 -
"
2025-07-04 19:48:10,"127.0.0.1 - - [04/Jul/2025 19:48:10] ""GET /graph?ts=1751638689812 HTTP/1.1"" 200 -
"
2025-07-04 19:48:14,"127.0.0.1 - - [04/Jul/2025 19:48:14] ""GET / HTTP/1.1"" 200 -
"
2025-07-04 19:48:14,"127.0.0.1 - - [04/Jul/2025 19:48:14] ""GET /live_ips HTTP/1.1"" 200 -
"
2025-07-04 19:48:14,"127.0.0.1 - - [04/Jul/2025 19:48:14] ""GET /blocked_ips HTTP/1.1"" 200 -
"
